pokedex_number,name,generation,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,release_date,speed_class,strength_category
223,Remoraid,2,Jet Pokémon,1,Water,None,0.6,12.0,3,Hustle,Sniper,Moody,300.0,35.0,65.0,35.0,65.0,35.0,65.0,190.0,1999-01-01,Slow,weak
224,Octillery,2,Jet Pokémon,1,Water,None,0.9,28.5,3,Suction Cups,Sniper,Moody,480.0,75.0,105.0,75.0,105.0,75.0,45.0,75.0,1999-01-01,Slow,Strong
225,Delibird,2,Delivery Pokémon,2,Ice,Flying,0.9,16.0,3,Vital Spirit,Hustle,Insomnia,330.0,45.0,55.0,45.0,65.0,45.0,75.0,45.0,1999-01-01,Fast,weak
226,Mantine,2,Kite Pokémon,2,Water,Flying,2.1,220.0,3,Swift Swim,Water Absorb,Water Veil,485.0,85.0,40.0,70.0,80.0,140.0,70.0,25.0,1999-01-01,Fast,Strong
227,Skarmory,2,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465.0,65.0,80.0,140.0,40.0,70.0,70.0,25.0,1999-01-01,Fast,Strong
228,Houndour,2,Dark Pokémon,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330.0,45.0,60.0,30.0,80.0,50.0,65.0,120.0,1999-01-01,Slow,weak
229,Houndoom,2,Dark Pokémon,2,Dark,Fire,1.4,35.0,3,Early Bird,Flash Fire,Unnerve,500.0,75.0,90.0,50.0,110.0,80.0,95.0,45.0,1999-01-01,Fast,Strong
229,Mega Houndoom,2,Dark Pokémon,2,Dark,Fire,1.9,49.5,1,Solar Power,None,None,600.0,75.0,90.0,90.0,140.0,90.0,115.0,45.0,1999-01-01,Fast,Strong
230,Kingdra,2,Dragon Pokémon,2,Water,Dragon,1.8,152.0,3,Swift Swim,Sniper,Damp,540.0,75.0,95.0,95.0,95.0,95.0,85.0,45.0,1999-01-01,Fast,Strong
231,Phanpy,2,Long Nose Pokémon,1,Ground,None,0.5,33.5,2,Pickup,None,Sand Veil,330.0,90.0,60.0,60.0,40.0,40.0,40.0,120.0,1999-01-01,Slow,weak
232,Donphan,2,Armor Pokémon,1,Ground,None,1.1,120.0,2,Sturdy,None,Sand Veil,500.0,90.0,120.0,120.0,60.0,60.0,50.0,60.0,1999-01-01,Slow,Strong
233,Porygon2,2,Virtual Pokémon,1,Normal,None,0.6,32.5,3,Trace,Download,Analytic,515.0,85.0,80.0,90.0,105.0,95.0,60.0,45.0,1999-01-01,Slow,Strong
234,Stantler,2,Big Horn Pokémon,1,Normal,None,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465.0,73.0,95.0,62.0,85.0,65.0,85.0,45.0,1999-01-01,Fast,Strong
235,Smeargle,2,Painter Pokémon,1,Normal,None,1.2,58.0,3,Own Tempo,Technician,Moody,250.0,55.0,20.0,35.0,20.0,45.0,75.0,45.0,1999-01-01,Fast,weak
236,Tyrogue,2,Scuffle Pokémon,1,Fighting,None,0.7,21.0,3,Guts,Steadfast,Vital Spirit,210.0,35.0,35.0,35.0,35.0,35.0,35.0,75.0,1999-01-01,Slow,weak
237,Hitmontop,2,Handstand Pokémon,1,Fighting,None,1.4,48.0,3,Intimidate,Technician,Steadfast,455.0,50.0,95.0,95.0,35.0,110.0,70.0,45.0,1999-01-01,Fast,Strong
238,Smoochum,2,Kiss Pokémon,2,Ice,Psychic,0.4,6.0,3,Oblivious,Forewarn,Hydration,305.0,45.0,30.0,15.0,85.0,65.0,65.0,45.0,1999-01-01,Slow,weak
239,Elekid,2,Electric Pokémon,1,Electric,None,0.6,23.5,2,Static,None,Vital Spirit,360.0,45.0,63.0,37.0,65.0,55.0,95.0,45.0,1999-01-01,Fast,weak
240,Magby,2,Live Coal Pokémon,1,Fire,None,0.7,21.4,2,Flame Body,None,Vital Spirit,365.0,45.0,75.0,37.0,70.0,55.0,83.0,45.0,1999-01-01,Fast,weak
241,Miltank,2,Milk Cow Pokémon,1,Normal,None,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490.0,95.0,80.0,105.0,40.0,70.0,100.0,45.0,1999-01-01,Fast,Strong
242,Blissey,2,Happiness Pokémon,1,Normal,None,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540.0,255.0,10.0,10.0,75.0,135.0,55.0,30.0,1999-01-01,Slow,Strong
243,Raikou,2,Thunder Pokémon,1,Electric,None,1.9,178.0,2,Pressure,None,Inner Focus,580.0,90.0,85.0,75.0,115.0,100.0,115.0,3.0,1999-01-01,Fast,Strong
244,Entei,2,Volcano Pokémon,1,Fire,None,2.1,198.0,2,Pressure,None,Inner Focus,580.0,115.0,115.0,85.0,90.0,75.0,100.0,3.0,1999-01-01,Fast,Strong
245,Suicune,2,Aurora Pokémon,1,Water,None,2.0,187.0,2,Pressure,None,Inner Focus,580.0,100.0,75.0,115.0,90.0,115.0,85.0,3.0,1999-01-01,Fast,Strong
246,Larvitar,2,Rock Skin Pokémon,2,Rock,Ground,0.6,72.0,2,Guts,None,Sand Veil,300.0,50.0,64.0,50.0,45.0,50.0,41.0,45.0,1999-01-01,Slow,weak
247,Pupitar,2,Hard Shell Pokémon,2,Rock,Ground,1.2,152.0,1,Shed Skin,None,None,410.0,70.0,84.0,70.0,65.0,70.0,51.0,45.0,1999-01-01,Slow,weak
248,Tyranitar,2,Armor Pokémon,2,Rock,Dark,2.0,202.0,2,Sand Stream,None,Unnerve,600.0,100.0,134.0,110.0,95.0,100.0,61.0,45.0,1999-01-01,Slow,Strong
248,Mega Tyranitar,2,Armor Pokémon,2,Rock,Dark,2.5,255.0,1,Sand Stream,None,None,700.0,100.0,164.0,150.0,95.0,120.0,71.0,45.0,1999-01-01,Fast,Strong
249,Lugia,2,Diving Pokémon,2,Psychic,Flying,5.2,216.0,2,Pressure,None,Multiscale,680.0,106.0,90.0,130.0,90.0,154.0,110.0,3.0,1999-01-01,Fast,Strong
250,Ho-oh,2,Rainbow Pokémon,2,Fire,Flying,3.8,199.0,2,Pressure,None,Regenerator,680.0,106.0,130.0,90.0,110.0,154.0,90.0,3.0,1999-01-01,Fast,Strong
251,Celebi,2,Time Travel Pokémon,2,Psychic,Grass,0.6,5.0,1,Natural Cure,None,None,600.0,100.0,100.0,100.0,100.0,100.0,100.0,45.0,1999-01-01,Fast,Strong
252,Treecko,3,Wood Gecko Pokémon,1,Grass,None,0.5,5.0,2,Overgrow,None,Unburden,310.0,40.0,45.0,35.0,65.0,55.0,70.0,45.0,2002-01-01,Fast,weak
253,Grovyle,3,Wood Gecko Pokémon,1,Grass,None,0.9,21.6,2,Overgrow,None,Unburden,405.0,50.0,65.0,45.0,85.0,65.0,95.0,45.0,2002-01-01,Fast,weak
254,Sceptile,3,Forest Pokémon,1,Grass,None,1.7,52.2,2,Overgrow,None,Unburden,530.0,70.0,85.0,65.0,105.0,85.0,120.0,45.0,2002-01-01,Fast,Strong
254,Mega Sceptile,3,Forest Pokémon,2,Grass,Dragon,1.9,55.2,1,Lightning Rod,None,None,630.0,70.0,110.0,75.0,145.0,85.0,145.0,45.0,2002-01-01,Fast,Strong
255,Torchic,3,Chick Pokémon,1,Fire,None,0.4,2.5,2,Blaze,None,Speed Boost,310.0,45.0,60.0,40.0,70.0,50.0,45.0,45.0,2002-01-01,Slow,weak
256,Combusken,3,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,2,Blaze,None,Speed Boost,405.0,60.0,85.0,60.0,85.0,60.0,55.0,45.0,2002-01-01,Slow,weak
257,Blaziken,3,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,2,Blaze,None,Speed Boost,530.0,80.0,120.0,70.0,110.0,70.0,80.0,45.0,2002-01-01,Fast,Strong
257,Mega Blaziken,3,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,1,Speed Boost,None,None,630.0,80.0,160.0,80.0,130.0,80.0,100.0,45.0,2002-01-01,Fast,Strong
258,Mudkip,3,Mud Fish Pokémon,1,Water,None,0.4,7.6,2,Torrent,None,Damp,310.0,50.0,70.0,50.0,50.0,50.0,40.0,45.0,2002-01-01,Slow,weak
259,Marshtomp,3,Mud Fish Pokémon,2,Water,Ground,0.7,28.0,2,Torrent,None,Damp,405.0,70.0,85.0,70.0,60.0,70.0,50.0,45.0,2002-01-01,Slow,weak
260,Swampert,3,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,2,Torrent,None,Damp,535.0,100.0,110.0,90.0,85.0,90.0,60.0,45.0,2002-01-01,Slow,Strong
260,Mega Swampert,3,Mud Fish Pokémon,2,Water,Ground,1.9,102.0,1,Swift Swim,None,None,635.0,100.0,150.0,110.0,95.0,110.0,70.0,45.0,2002-01-01,Fast,Strong
261,Poochyena,3,Bite Pokémon,1,Dark,None,0.5,13.6,3,Run Away,Quick Feet,Rattled,220.0,35.0,55.0,35.0,30.0,30.0,35.0,255.0,2002-01-01,Slow,weak
262,Mightyena,3,Bite Pokémon,1,Dark,None,1.0,37.0,3,Intimidate,Quick Feet,Moxie,420.0,70.0,90.0,70.0,60.0,60.0,70.0,127.0,2002-01-01,Fast,weak
263,Zigzagoon,3,TinyRaccoon Pokémon,1,Normal,None,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240.0,38.0,30.0,41.0,30.0,41.0,60.0,255.0,2002-01-01,Slow,weak
263,Galarian Zigzagoon,3,Tiny Raccoon Pokémon,2,Dark,Normal,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240.0,38.0,30.0,41.0,30.0,41.0,60.0,,2002-01-01,Slow,weak
264,Linoone,3,Rushing Pokémon,1,Normal,None,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420.0,78.0,70.0,61.0,50.0,61.0,100.0,90.0,2002-01-01,Fast,weak
264,Galarian Linoone,3,Rushing Pokémon,2,Dark,Normal,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420.0,78.0,70.0,61.0,50.0,61.0,100.0,,2002-01-01,Fast,weak
265,Wurmple,3,Worm Pokémon,1,Bug,None,0.3,3.6,2,Shield Dust,None,Run Away,195.0,45.0,45.0,35.0,20.0,30.0,20.0,255.0,2002-01-01,Slow,weak
266,Silcoon,3,Cocoon Pokémon,1,Bug,None,0.6,10.0,1,Shed Skin,None,None,205.0,50.0,35.0,55.0,25.0,25.0,15.0,120.0,2002-01-01,Slow,weak
267,Beautifly,3,Butterfly Pokémon,2,Bug,Flying,1.0,28.4,2,Swarm,None,Rivalry,395.0,60.0,70.0,50.0,100.0,50.0,65.0,45.0,2002-01-01,Slow,weak
268,Cascoon,3,Cocoon Pokémon,1,Bug,None,0.7,11.5,1,Shed Skin,None,None,205.0,50.0,35.0,55.0,25.0,25.0,15.0,120.0,2002-01-01,Slow,weak
269,Dustox,3,Poison Moth Pokémon,2,Bug,Poison,1.2,31.6,2,Shield Dust,None,Compound Eyes,385.0,60.0,50.0,70.0,50.0,90.0,65.0,45.0,2002-01-01,Slow,weak
270,Lotad,3,Water Weed Pokémon,2,Water,Grass,0.5,2.6,3,Swift Swim,Rain Dish,Own Tempo,220.0,40.0,30.0,30.0,40.0,50.0,30.0,255.0,2002-01-01,Slow,weak
271,Lombre,3,Jolly Pokémon,2,Water,Grass,1.2,32.5,3,Swift Swim,Rain Dish,Own Tempo,340.0,60.0,50.0,50.0,60.0,70.0,50.0,120.0,2002-01-01,Slow,weak
272,Ludicolo,3,Carefree Pokémon,2,Water,Grass,1.5,55.0,3,Swift Swim,Rain Dish,Own Tempo,480.0,80.0,70.0,70.0,90.0,100.0,70.0,45.0,2002-01-01,Fast,Strong
273,Seedot,3,Acorn Pokémon,1,Grass,None,0.5,4.0,3,Chlorophyll,Early Bird,Pickpocket,220.0,40.0,40.0,50.0,30.0,30.0,30.0,255.0,2002-01-01,Slow,weak
274,Nuzleaf,3,Wily Pokémon,2,Grass,Dark,1.0,28.0,3,Chlorophyll,Early Bird,Pickpocket,340.0,70.0,70.0,40.0,60.0,40.0,60.0,120.0,2002-01-01,Slow,weak
275,Shiftry,3,Wicked Pokémon,2,Grass,Dark,1.3,59.6,3,Chlorophyll,Early Bird,Pickpocket,480.0,90.0,100.0,60.0,90.0,60.0,80.0,45.0,2002-01-01,Fast,Strong
276,Taillow,3,TinySwallow Pokémon,2,Normal,Flying,0.3,2.3,2,Guts,None,Scrappy,270.0,40.0,55.0,30.0,30.0,30.0,85.0,200.0,2002-01-01,Fast,weak
277,Swellow,3,Swallow Pokémon,2,Normal,Flying,0.7,19.8,2,Guts,None,Scrappy,455.0,60.0,85.0,60.0,75.0,50.0,125.0,45.0,2002-01-01,Fast,Strong
278,Wingull,3,Seagull Pokémon,2,Water,Flying,0.6,9.5,3,Keen Eye,Hydration,Rain Dish,270.0,40.0,30.0,30.0,55.0,30.0,85.0,190.0,2002-01-01,Fast,weak
279,Pelipper,3,Water Bird Pokémon,2,Water,Flying,1.2,28.0,3,Keen Eye,Drizzle,Rain Dish,440.0,60.0,50.0,100.0,95.0,70.0,65.0,45.0,2002-01-01,Slow,Strong
280,Ralts,3,Feeling Pokémon,2,Psychic,Fairy,0.4,6.6,3,Synchronize,Trace,Telepathy,198.0,28.0,25.0,25.0,45.0,35.0,40.0,235.0,2002-01-01,Slow,weak
281,Kirlia,3,Emotion Pokémon,2,Psychic,Fairy,0.8,20.2,3,Synchronize,Trace,Telepathy,278.0,38.0,35.0,35.0,65.0,55.0,50.0,120.0,2002-01-01,Slow,weak
282,Gardevoir,3,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,3,Synchronize,Trace,Telepathy,518.0,68.0,65.0,65.0,125.0,115.0,80.0,45.0,2002-01-01,Fast,Strong
282,Mega Gardevoir,3,Embrace Pokémon,2,Psychic,Fairy,1.6,48.4,1,Pixilate,None,None,618.0,68.0,85.0,65.0,165.0,135.0,100.0,45.0,2002-01-01,Fast,Strong
283,Surskit,3,Pond Skater Pokémon,2,Bug,Water,0.5,1.7,2,Swift Swim,None,Rain Dish,269.0,40.0,30.0,32.0,50.0,52.0,65.0,200.0,2002-01-01,Slow,weak
284,Masquerain,3,Eyeball Pokémon,2,Bug,Flying,0.8,3.6,2,Intimidate,None,Unnerve,454.0,70.0,60.0,62.0,100.0,82.0,80.0,75.0,2002-01-01,Fast,Strong
285,Shroomish,3,Mushroom Pokémon,1,Grass,None,0.4,4.5,3,Effect Spore,Poison Heal,Quick Feet,295.0,60.0,40.0,60.0,40.0,60.0,35.0,255.0,2002-01-01,Slow,weak
286,Breloom,3,Mushroom Pokémon,2,Grass,Fighting,1.2,39.2,3,Effect Spore,Poison Heal,Technician,460.0,60.0,130.0,80.0,60.0,60.0,70.0,90.0,2002-01-01,Fast,Strong
287,Slakoth,3,Slacker Pokémon,1,Normal,None,0.8,24.0,1,Truant,None,None,280.0,60.0,60.0,60.0,35.0,35.0,30.0,255.0,2002-01-01,Slow,weak
288,Vigoroth,3,Wild Monkey Pokémon,1,Normal,None,1.4,46.5,1,Vital Spirit,None,None,440.0,80.0,80.0,80.0,55.0,55.0,90.0,120.0,2002-01-01,Fast,Strong
289,Slaking,3,Lazy Pokémon,1,Normal,None,2.0,130.5,1,Truant,None,None,670.0,150.0,160.0,100.0,95.0,65.0,100.0,45.0,2002-01-01,Fast,Strong
290,Nincada,3,Trainee Pokémon,2,Bug,Ground,0.5,5.5,2,Compound Eyes,None,Run Away,266.0,31.0,45.0,90.0,30.0,30.0,40.0,255.0,2002-01-01,Slow,weak
291,Ninjask,3,Ninja Pokémon,2,Bug,Flying,0.8,12.0,2,Speed Boost,None,Infiltrator,456.0,61.0,90.0,45.0,50.0,50.0,160.0,120.0,2002-01-01,Fast,Strong
292,Shedinja,3,Shed Pokémon,2,Bug,Ghost,0.8,1.2,1,Wonder Guard,None,None,236.0,1.0,90.0,45.0,30.0,30.0,40.0,45.0,2002-01-01,Slow,weak
293,Whismur,3,Whisper Pokémon,1,Normal,None,0.6,16.3,2,Soundproof,None,Rattled,240.0,64.0,51.0,23.0,51.0,23.0,28.0,190.0,2002-01-01,Slow,weak
294,Loudred,3,Big Voice Pokémon,1,Normal,None,1.0,40.5,2,Soundproof,None,Scrappy,360.0,84.0,71.0,43.0,71.0,43.0,48.0,120.0,2002-01-01,Slow,weak
295,Exploud,3,Loud Noise Pokémon,1,Normal,None,1.5,84.0,2,Soundproof,None,Scrappy,490.0,104.0,91.0,63.0,91.0,73.0,68.0,45.0,2002-01-01,Slow,Strong
296,Makuhita,3,Guts Pokémon,1,Fighting,None,1.0,86.4,3,Thick Fat,Guts,Sheer Force,237.0,72.0,60.0,30.0,20.0,30.0,25.0,180.0,2002-01-01,Slow,weak
297,Hariyama,3,Arm Thrust Pokémon,1,Fighting,None,2.3,253.8,3,Thick Fat,Guts,Sheer Force,474.0,144.0,120.0,60.0,40.0,60.0,50.0,200.0,2002-01-01,Slow,Strong
298,Azurill,3,Polka Dot Pokémon,2,Normal,Fairy,0.2,2.0,3,Thick Fat,Huge Power,Sap Sipper,190.0,50.0,20.0,40.0,20.0,40.0,20.0,150.0,2002-01-01,Slow,weak
299,Nosepass,3,Compass Pokémon,1,Rock,None,1.0,97.0,3,Sturdy,Magnet Pull,Sand Force,375.0,30.0,45.0,135.0,45.0,90.0,30.0,255.0,2002-01-01,Slow,weak
300,Skitty,3,Kitten Pokémon,1,Normal,None,0.6,11.0,3,Cute Charm,Normalize,Wonder Skin,260.0,50.0,45.0,45.0,35.0,35.0,50.0,255.0,2002-01-01,Slow,weak
301,Delcatty,3,Prim Pokémon,1,Normal,None,1.1,32.6,3,Cute Charm,Normalize,Wonder Skin,400.0,70.0,65.0,65.0,55.0,55.0,90.0,60.0,2002-01-01,Fast,weak
302,Sableye,3,Darkness Pokémon,2,Dark,Ghost,0.5,11.0,3,Keen Eye,Stall,Prankster,380.0,50.0,75.0,75.0,65.0,65.0,50.0,45.0,2002-01-01,Slow,weak
302,Mega Sableye,3,Darkness Pokémon,2,Dark,Ghost,0.5,161.0,1,Magic Bounce,None,None,480.0,50.0,85.0,125.0,85.0,115.0,20.0,45.0,2002-01-01,Slow,Strong
303,Mawile,3,Deceiver Pokémon,2,Steel,Fairy,0.6,11.5,3,Hyper Cutter,Intimidate,Sheer Force,380.0,50.0,85.0,85.0,55.0,55.0,50.0,45.0,2002-01-01,Slow,weak
303,Mega Mawile,3,Deceiver Pokémon,2,Steel,Fairy,1.0,23.5,1,Huge Power,None,None,480.0,50.0,105.0,125.0,55.0,95.0,50.0,45.0,2002-01-01,Slow,Strong
304,Aron,3,Iron Armor Pokémon,2,Steel,Rock,0.4,60.0,3,Sturdy,Rock Head,Heavy Metal,330.0,50.0,70.0,100.0,40.0,40.0,30.0,180.0,2002-01-01,Slow,weak
305,Lairon,3,Iron Armor Pokémon,2,Steel,Rock,0.9,120.0,3,Sturdy,Rock Head,Heavy Metal,430.0,60.0,90.0,140.0,50.0,50.0,40.0,90.0,2002-01-01,Slow,weak
306,Aggron,3,Iron Armor Pokémon,2,Steel,Rock,2.1,360.0,3,Sturdy,Rock Head,Heavy Metal,530.0,70.0,110.0,180.0,60.0,60.0,50.0,45.0,2002-01-01,Slow,Strong
306,Mega Aggron,3,Iron Armor Pokémon,1,Steel,None,2.2,395.0,1,Filter,None,None,630.0,70.0,140.0,230.0,60.0,80.0,50.0,45.0,2002-01-01,Slow,Strong
307,Meditite,3,Meditate Pokémon,2,Fighting,Psychic,0.6,11.2,2,Pure Power,None,Telepathy,280.0,30.0,40.0,55.0,40.0,55.0,60.0,180.0,2002-01-01,Slow,weak
308,Medicham,3,Meditate Pokémon,2,Fighting,Psychic,1.3,31.5,2,Pure Power,None,Telepathy,410.0,60.0,60.0,75.0,60.0,75.0,80.0,90.0,2002-01-01,Fast,weak
308,Mega Medicham,3,Meditate Pokémon,2,Fighting,Psychic,1.3,31.5,1,Pure Power,None,None,510.0,60.0,100.0,85.0,80.0,85.0,100.0,90.0,2002-01-01,Fast,Strong
309,Electrike,3,Lightning Pokémon,1,Electric,None,0.6,15.2,3,Static,Lightning Rod,Minus,295.0,40.0,45.0,40.0,65.0,40.0,65.0,120.0,2002-01-01,Slow,weak
310,Manectric,3,Discharge Pokémon,1,Electric,None,1.5,40.2,3,Static,Lightning Rod,Minus,475.0,70.0,75.0,60.0,105.0,60.0,105.0,45.0,2002-01-01,Fast,Strong
310,Mega Manectric,3,Discharge Pokémon,1,Electric,None,1.8,44.0,1,Intimidate,None,None,575.0,70.0,75.0,80.0,135.0,80.0,135.0,45.0,2002-01-01,Fast,Strong
311,Plusle,3,Cheering Pokémon,1,Electric,None,0.4,4.2,2,Plus,None,Lightning Rod,405.0,60.0,50.0,40.0,85.0,75.0,95.0,200.0,2002-01-01,Fast,weak
312,Minun,3,Cheering Pokémon,1,Electric,None,0.4,4.2,2,Minus,None,Volt Absorb,405.0,60.0,40.0,50.0,75.0,85.0,95.0,200.0,2002-01-01,Fast,weak
313,Volbeat,3,Firefly Pokémon,1,Bug,None,0.7,17.7,3,Illuminate,Swarm,Prankster,430.0,65.0,73.0,75.0,47.0,85.0,85.0,150.0,2002-01-01,Fast,weak
314,Illumise,3,Firefly Pokémon,1,Bug,None,0.6,17.7,3,Oblivious,Tinted Lens,Prankster,430.0,65.0,47.0,75.0,73.0,85.0,85.0,150.0,2002-01-01,Fast,weak
315,Roselia,3,Thorn Pokémon,2,Grass,Poison,0.3,2.0,3,Natural Cure,Poison Point,Leaf Guard,400.0,50.0,60.0,45.0,100.0,80.0,65.0,150.0,2002-01-01,Slow,weak
316,Gulpin,3,Stomach Pokémon,1,Poison,None,0.4,10.3,3,Liquid Ooze,Sticky Hold,Gluttony,302.0,70.0,43.0,53.0,43.0,53.0,40.0,225.0,2002-01-01,Slow,weak
317,Swalot,3,Poison Bag Pokémon,1,Poison,None,1.7,80.0,3,Liquid Ooze,Sticky Hold,Gluttony,467.0,100.0,73.0,83.0,73.0,83.0,55.0,75.0,2002-01-01,Slow,Strong
318,Carvanha,3,Savage Pokémon,2,Water,Dark,0.8,20.8,2,Rough Skin,None,Speed Boost,305.0,45.0,90.0,20.0,65.0,20.0,65.0,225.0,2002-01-01,Slow,weak
319,Sharpedo,3,Brutal Pokémon,2,Water,Dark,1.8,88.8,2,Rough Skin,None,Speed Boost,460.0,70.0,120.0,40.0,95.0,40.0,95.0,60.0,2002-01-01,Fast,Strong
319,Mega Sharpedo,3,Brutal Pokémon,2,Water,Dark,2.5,130.3,1,Strong Jaw,None,None,560.0,70.0,140.0,70.0,110.0,65.0,105.0,60.0,2002-01-01,Fast,Strong
320,Wailmer,3,Ball Whale Pokémon,1,Water,None,2.0,130.0,3,Water Veil,Oblivious,Pressure,400.0,130.0,70.0,35.0,70.0,35.0,60.0,125.0,2002-01-01,Slow,weak
321,Wailord,3,Float Whale Pokémon,1,Water,None,14.5,398.0,3,Water Veil,Oblivious,Pressure,500.0,170.0,90.0,45.0,90.0,45.0,60.0,60.0,2002-01-01,Slow,Strong
322,Numel,3,Numb Pokémon,2,Fire,Ground,0.7,24.0,3,Oblivious,Simple,Own Tempo,305.0,60.0,60.0,40.0,65.0,45.0,35.0,255.0,2002-01-01,Slow,weak
323,Camerupt,3,Eruption Pokémon,2,Fire,Ground,1.9,220.0,3,Magma Armor,Solid Rock,Anger Point,460.0,70.0,100.0,70.0,105.0,75.0,40.0,150.0,2002-01-01,Slow,Strong
323,Mega Camerupt,3,Eruption Pokémon,2,Fire,Ground,2.5,320.5,1,Sheer Force,None,None,560.0,70.0,120.0,100.0,145.0,105.0,20.0,150.0,2002-01-01,Slow,Strong
324,Torkoal,3,Coal Pokémon,1,Fire,None,0.5,80.4,3,White Smoke,Drought,Shell Armor,470.0,70.0,85.0,140.0,85.0,70.0,20.0,90.0,2002-01-01,Slow,Strong
325,Spoink,3,Bounce Pokémon,1,Psychic,None,0.7,30.6,3,Thick Fat,Own Tempo,Gluttony,330.0,60.0,25.0,35.0,70.0,80.0,60.0,255.0,2002-01-01,Slow,weak
326,Grumpig,3,Manipulate Pokémon,1,Psychic,None,0.9,71.5,3,Thick Fat,Own Tempo,Gluttony,470.0,80.0,45.0,65.0,90.0,110.0,80.0,60.0,2002-01-01,Fast,Strong
327,Spinda,3,Spot Panda Pokémon,1,Normal,None,1.1,5.0,3,Own Tempo,Tangled Feet,Contrary,360.0,60.0,60.0,60.0,60.0,60.0,60.0,255.0,2002-01-01,Slow,weak
328,Trapinch,3,Ant Pit Pokémon,1,Ground,None,0.7,15.0,3,Hyper Cutter,Arena Trap,Sheer Force,290.0,45.0,100.0,45.0,45.0,45.0,10.0,255.0,2002-01-01,Slow,weak
329,Vibrava,3,Vibration Pokémon,2,Ground,Dragon,1.1,15.3,1,Levitate,None,None,340.0,50.0,70.0,50.0,50.0,50.0,70.0,120.0,2002-01-01,Fast,weak
330,Flygon,3,Mystic Pokémon,2,Ground,Dragon,2.0,82.0,1,Levitate,None,None,520.0,80.0,100.0,80.0,80.0,80.0,100.0,45.0,2002-01-01,Fast,Strong
331,Cacnea,3,Cactus Pokémon,1,Grass,None,0.4,51.3,2,Sand Veil,None,Water Absorb,335.0,50.0,85.0,40.0,85.0,40.0,35.0,190.0,2002-01-01,Slow,weak
332,Cacturne,3,Scarecrow Pokémon,2,Grass,Dark,1.3,77.4,2,Sand Veil,None,Water Absorb,475.0,70.0,115.0,60.0,115.0,60.0,55.0,60.0,2002-01-01,Slow,Strong
333,Swablu,3,Cotton Bird Pokémon,2,Normal,Flying,0.4,1.2,2,Natural Cure,None,Cloud Nine,310.0,45.0,40.0,60.0,40.0,75.0,50.0,255.0,2002-01-01,Slow,weak
334,Altaria,3,Humming Pokémon,2,Dragon,Flying,1.1,20.6,2,Natural Cure,None,Cloud Nine,490.0,75.0,70.0,90.0,70.0,105.0,80.0,45.0,2002-01-01,Fast,Strong
334,Mega Altaria,3,Humming Pokémon,2,Dragon,Fairy,1.5,20.6,1,Pixilate,None,None,590.0,75.0,110.0,110.0,110.0,105.0,80.0,45.0,2002-01-01,Fast,Strong
335,Zangoose,3,Cat Ferret Pokémon,1,Normal,None,1.3,40.3,2,Immunity,None,Toxic Boost,458.0,73.0,115.0,60.0,60.0,60.0,90.0,90.0,2002-01-01,Fast,Strong
336,Seviper,3,Fang Snake Pokémon,1,Poison,None,2.7,52.5,2,Shed Skin,None,Infiltrator,458.0,73.0,100.0,60.0,100.0,60.0,65.0,90.0,2002-01-01,Slow,Strong
337,Lunatone,3,Meteorite Pokémon,2,Rock,Psychic,1.0,168.0,1,Levitate,None,None,460.0,90.0,55.0,65.0,95.0,85.0,70.0,45.0,2002-01-01,Fast,Strong
338,Solrock,3,Meteorite Pokémon,2,Rock,Psychic,1.2,154.0,1,Levitate,None,None,460.0,90.0,95.0,85.0,55.0,65.0,70.0,45.0,2002-01-01,Fast,Strong
339,Barboach,3,Whiskers Pokémon,2,Water,Ground,0.4,1.9,3,Oblivious,Anticipation,Hydration,288.0,50.0,48.0,43.0,46.0,41.0,60.0,190.0,2002-01-01,Slow,weak
340,Whiscash,3,Whiskers Pokémon,2,Water,Ground,0.9,23.6,3,Oblivious,Anticipation,Hydration,468.0,110.0,78.0,73.0,76.0,71.0,60.0,75.0,2002-01-01,Slow,Strong
341,Corphish,3,Ruffian Pokémon,1,Water,None,0.6,11.5,3,Hyper Cutter,Shell Armor,Adaptability,308.0,43.0,80.0,65.0,50.0,35.0,35.0,205.0,2002-01-01,Slow,weak
342,Crawdaunt,3,Rogue Pokémon,2,Water,Dark,1.1,32.8,3,Hyper Cutter,Shell Armor,Adaptability,468.0,63.0,120.0,85.0,90.0,55.0,55.0,155.0,2002-01-01,Slow,Strong
